path,type,data_rows,bytes,scope
B_solver/figures/q1_counterexample.png,.png,,165600,相关原始或派生证据；用途见正文、代码映射及原说明
B_solver/figures/q1_counterexample.svg,.svg,,12692,相关原始或派生证据；用途见正文、代码映射及原说明
B_solver/figures/q2_candidates.png,.png,,224201,原213安全候选例；第二动作增量时间
B_solver/figures/q2_candidates.svg,.svg,,50495,原213安全候选例；第二动作增量时间
B_solver/paper/audit/compile_report.json,.json,,549,相关原始或派生证据；用途见正文、代码映射及原说明
B_solver/paper/audit/crossref_reference_metadata.json,.json,,11917,相关原始或派生证据；用途见正文、代码映射及原说明
B_solver/paper/audit/deliverable_manifest.json,.json,,6538,相关原始或派生证据；用途见正文、代码映射及原说明
B_solver/paper/audit/source_manifest.json,.json,,2473,相关原始或派生证据；用途见正文、代码映射及原说明
B_solver/paper/comparison/evidence/analysis_provenance.json,.json,,1028,相关原始或派生证据；用途见正文、代码映射及原说明
B_solver/paper/comparison/evidence/historical_100_method_summary.csv,.csv,3,378,正文新增历史100例比较：汇总或NBV减基线的逐种子差值；仅重算保存CSV
B_solver/paper/comparison/evidence/historical_100_pair_summary.csv,.csv,4,387,正文新增历史100例比较：汇总或NBV减基线的逐种子差值；仅重算保存CSV
B_solver/paper/comparison/evidence/historical_100_paired_deltas.csv,.csv,200,11419,正文新增历史100例比较：汇总或NBV减基线的逐种子差值；仅重算保存CSV
B_solver/paper/comparison/figures/01_historical_tradeoff.png,.png,,89719,正文历史100例图：直径与累计时间分别显示
B_solver/paper/comparison/figures/01_historical_tradeoff.svg,.svg,,15652,正文历史100例图：直径与累计时间分别显示
B_solver/paper/comparison/figures/02_lambda_tradeoff.png,.png,,86843,相关原始或派生证据；用途见正文、代码映射及原说明
B_solver/paper/comparison/figures/02_lambda_tradeoff.svg,.svg,,11274,相关原始或派生证据；用途见正文、代码映射及原说明
B_solver/paper/figures/q1_counterexample.png,.png,,165600,相关原始或派生证据；用途见正文、代码映射及原说明
B_solver/paper/figures/q2_candidates.png,.png,,224201,原213安全候选例；第二动作增量时间
B_solver/paper/figures/q2_historical_tradeoff.png,.png,,89719,正文历史100例图：直径与累计时间分别显示
B_solver/paper/figures/q2_historical_tradeoff.svg,.svg,,15652,正文历史100例图：直径与累计时间分别显示
B_solver/results/ablations/point_vs_set.csv,.csv,300,21208,原点估计与集合清除几何对照；不是实际clear日志
B_solver/results/ablations/second_view.csv,.csv,300,21741,原历史100例/三策略，共300记录；前两次累计时间
B_solver/results/ablations/summary.json,.json,,1236,相关原始或派生证据；用途见正文、代码映射及原说明
B_solver/results/geometry_checks.json,.json,,4155,相关原始或派生证据；用途见正文、代码映射及原说明
B_solver/results/q1.json,.json,,586,相关原始或派生证据；用途见正文、代码映射及原说明
B_solver/results/q2.json,.json,,1412,相关原始或派生证据；用途见正文、代码映射及原说明
B_solver/results/q2_candidates.csv,.csv,213,16778,原213安全候选例；第二动作增量时间
交接辅助数据/q1_observations.json,.json,,326,相关原始或派生证据；用途见正文、代码映射及原说明
交接辅助数据/q1_vertices.csv,.csv,3,119,相关原始或派生证据；用途见正文、代码映射及原说明
交接辅助数据/q2_lambda_summary.csv,.csv,4,393,相关原始或派生证据；用途见正文、代码映射及原说明
补充几何审计/外部几何验证/local_reproduction.json,.json,,70889,相关原始或派生证据；用途见正文、代码映射及原说明
补充几何审计/外部几何验证/PROVENANCE.json,.json,,296,相关原始或派生证据；用途见正文、代码映射及原说明
补充几何审计/外部几何验证/results.json,.json,,68883,相关原始或派生证据；用途见正文、代码映射及原说明
补充几何审计/外部几何验证/SHA256.json,.json,,267,相关原始或派生证据；用途见正文、代码映射及原说明
过程图片/历史编译预览/contact.png,.png,,941380,过程预览，可能对应旧版；最终版本以v2 PDF为准
过程图片/历史编译预览/final_comparison/contact.png,.png,,820912,过程预览，可能对应旧版；最终版本以v2 PDF为准
过程图片/历史编译预览/final_comparison/page_01.png,.png,,292853,过程预览，可能对应旧版；最终版本以v2 PDF为准
过程图片/历史编译预览/final_comparison/page_02.png,.png,,274790,过程预览，可能对应旧版；最终版本以v2 PDF为准
过程图片/历史编译预览/final_comparison/page_03.png,.png,,209329,过程预览，可能对应旧版；最终版本以v2 PDF为准
过程图片/历史编译预览/final_comparison/page_04.png,.png,,312930,过程预览，可能对应旧版；最终版本以v2 PDF为准
过程图片/历史编译预览/final_comparison/page_05.png,.png,,332593,过程预览，可能对应旧版；最终版本以v2 PDF为准
过程图片/历史编译预览/final_comparison/page_06.png,.png,,335493,过程预览，可能对应旧版；最终版本以v2 PDF为准
过程图片/历史编译预览/final_comparison/page_07.png,.png,,218620,过程预览，可能对应旧版；最终版本以v2 PDF为准
过程图片/历史编译预览/final_comparison/page_08.png,.png,,113433,过程预览，可能对应旧版；最终版本以v2 PDF为准
过程图片/历史编译预览/final_comparison/page_09.png,.png,,142176,过程预览，可能对应旧版；最终版本以v2 PDF为准
过程图片/历史编译预览/final_v2/contact.png,.png,,1170566,过程预览，可能对应旧版；最终版本以v2 PDF为准
过程图片/历史编译预览/final_v2/page_01.png,.png,,292853,过程预览，可能对应旧版；最终版本以v2 PDF为准
过程图片/历史编译预览/final_v2/page_02.png,.png,,287900,过程预览，可能对应旧版；最终版本以v2 PDF为准
过程图片/历史编译预览/final_v2/page_03.png,.png,,267320,过程预览，可能对应旧版；最终版本以v2 PDF为准
过程图片/历史编译预览/final_v2/page_04.png,.png,,195312,过程预览，可能对应旧版；最终版本以v2 PDF为准
过程图片/历史编译预览/final_v2/page_05.png,.png,,345073,过程预览，可能对应旧版；最终版本以v2 PDF为准
过程图片/历史编译预览/final_v2/page_06.png,.png,,282131,过程预览，可能对应旧版；最终版本以v2 PDF为准
过程图片/历史编译预览/final_v2/page_07.png,.png,,332563,过程预览，可能对应旧版；最终版本以v2 PDF为准
